ID;Description;English;Testing
394;Turtle;一种吃植物和水果的小型爬行动物。它既能在陆地上生活也能在水中生活，但需要潮湿的地区。受到惊吓时，它可以躲进壳里保护自己免受掠食者伤害。它通过下蛋繁殖。;TestVal394
395;Berry Bush;浆果灌木;TestVal395
396;Berry Bush;一种定期结出营养丰富红色浆果的小灌木。这些浆果可以为许多小动物提供食物来源。这种灌木在森林和林地地区生长良好。;TestVal396
397;Goat;山羊;TestVal397
398;Goat;山羊物种喜欢生活在高海拔地区，以小型植物和水果为食。虽然山羊害怕掠食者，但在受到攻击时会反击。它有时还会冲撞附近的水果树林，把树上所有的水果都撞下来。;TestVal398
399;Fruiter Ability;定期产出果实，可供动物食用。;TestVal399
400;Flee Ability;遇到掠食者会逃跑。;TestVal400
401;Attack Ability;被其他动物攻击时会反击。;TestVal401
402;Tree Charge Ability;冲撞附近果树，把果实撞到地上。;TestVal402
403;Fruit Production Buff;结果速率;TestVal403
404;Fruit Production Buff;果实产出速率取决于植物对环境的满意度。满意度越高，结出果实的速度就越快。;TestVal404
405;Guinea Pig;豚鼠;TestVal405
406;Guinea Pig;一种拖着步子走来走去的毛茸茸小动物。它更喜欢生活在草地或林地区域，吃水果、浆果、蔬菜和草。这种小啮齿动物很容易受惊，有时会无缘无故地惊慌失措。;TestVal406
407;Panic Description;有时会惊慌失措，恐惧地四处乱跑。;TestVal407
408;Clown Fish;小丑鱼;TestVal408
409;Clown Fish;一种色彩斑斓的鱼，看起来有点迷路。这种鱼生活在热带水域，通常成群结队。;TestVal409
410;Tropical Seaweed;热带海藻;TestVal410
411;Tropical Seaweed;一些生长在热带地区的海藻。需要生活在岩石附近，但不喜欢睡莲。是小丑鱼栖息地的完美之选。;TestVal411
412;Frog;青蛙;TestVal412
413;Frog;一种会跳跃的小动物。青蛙喜欢生活在丛林中，但也能在其他生物群系中生存。它以蜜蜂和蝴蝶等昆虫为食，并利用跳跃能力捕捉它们。虽然被归为爬行动物，但从严格意义上讲它并不是！;TestVal413
414;Butterfly;蝴蝶;TestVal414
415;Butterfly;一种非常鲜艳的昆虫，在田野间飞来飞去。它能提高附近果树的产量，喜欢有花的地区。是青蛙和蟾蜍的首要目标。;TestVal415
416;Insect Catching Ability;定期尝试捕捉并吃掉附近的昆虫。;TestVal416
417;Toad;蟾蜍;TestVal417
418;Toad;一种长满疙瘩的小生物，喜欢生活在沼泽地区。喜欢蘑菇，每当昆虫靠近时都会尝试捕捉它们。;TestVal418
419;Monkey Behaviour;幼年时挂在父母身上，被带着四处走。;TestVal419
420;Cling Behaviour;挂在父母身上;TestVal420
421;Cling Behaviour;走向父母;TestVal421
422;Swing Behaviour;在树上荡来荡去;TestVal422
423;Monkey;猴子;TestVal423
424;Monkey;一种敏捷的类人哺乳动物。猴子喜欢在丛林的树上荡来荡去，幼年时会挂在父母身上。喜欢吃水果，尤其是香蕉。;TestVal424
425;Swinging Ability;可以在树间荡来荡去（开发中）。;TestVal425
426;Bird;麻雀;TestVal426
427;Bird;一种小型森林鸟类。麻雀飞来飞去，偶尔落在附近树枝上。麻雀会筑巢并在巢中下蛋繁殖。只要有树木可用，这种鸟几乎可以轻松生活在世界的任何地方！;TestVal427
428;Nest;鸟巢;TestVal428
429;Nest;小鸟搭的巢。可以在这里下蛋。;TestVal429
430;Nesting Behaviour;需要鸟巢/巢穴才能繁殖。;TestVal430
431;Building ability, 0 = object that the species builds;有能力建造 $0$。;TestVal431
432;Toucan;巨嘴鸟;TestVal432
433;Toucan;一种长着大嘴的黑白丛林鸟！巨嘴鸟在树上筑巢并下蛋繁殖。虽然它主要是丛林鸟类，但也能在繁茂和热带生物群系中生存。;TestVal433
434;Beaver;海狸;TestVal434
435;Beaver;海狸是一种喜欢生活在水边的小型哺乳动物。它有能力砍倒树木，然后用树枝在水里建造巢穴。海狸繁殖需要巢穴。海狸喜欢吃树皮和水生植物。;TestVal435
436;Lodge;海狸巢穴;TestVal436
437;Lodge;海狸用树枝搭建的家。这些巢穴由海狸建造，是海狸繁殖所必需的。它们必须建在水边。;TestVal437
438;Bee;蜜蜂;TestVal438
439;Bee;一只嗡嗡叫的小蜜蜂！这些昆虫飞来飞去采集花蜜并建造蜂巢。当附近有建好的蜂巢时，蜜蜂会利用它开始生产蜂蜜。不过它们会蜇附近的哺乳动物，除非被安抚。;TestVal439
440;Hive;蜂巢;TestVal440
441;Hive;蜜蜂建造的蜂巢。蜜蜂可以随着时间推移通过不断到访来建造蜂巢，当蜂巢完全建好后，蜜蜂就会开始在里面生产蜂蜜。每只蜜蜂到访一次，蜂蜜量就会增加，蜂蜜可以被其他动物食用。;TestVal441
442;Info Type;总览;TestVal442
443;Info Type;栖息地;TestVal443
444;Info Type;能力;TestVal444
445;Hostile Ability;这种好斗的动物会随机攻击靠得太近的其他动物。;TestVal445
446;Attack Action Name;攻击;TestVal446
447;Meat;肉;TestVal447
448;Meat;中等体型死动物的肉。;TestVal448
449;Remaining portions of food;剩余份数;TestVal449
450;Snap Dragon;金鱼草;TestVal450
451;Snap Dragon;一种具有安抚作用的花。这种植物被吃掉时会对好斗的动物产生安抚效果。它需要非常肥沃的土壤才能生存，并且更喜欢林地区域。;TestVal451
452;Pacify Ability;被食用后能安抚好斗的动物。;TestVal452
453;Effect Buff Name;当前效果;TestVal453
454;Pacify Buff;被安抚;TestVal454
455;Pacify cause;这只动物目前处于被安抚状态，不会随机攻击附近其他动物。这种效果是由食用某种植物引起的。;TestVal455
456;Bee Ability;在完全建好的蜂巢中生产蜂蜜。;TestVal456
457;Homney Trait Name;蜂蜜产量;TestVal457
458;Rabbit;兔子;TestVal458
459;Rabbit;一种喜欢吃胡萝卜的饥饿的小啮齿动物。兔子喜欢在开满鲜花的田野里蹦来蹦去度过每一天。不过它们经常被掠食者捕猎。;TestVal459
460;Carrot;胡萝卜;TestVal460
461;Carrot;一种顶部有绿叶的根茎蔬菜。它可以食用叶子，有些动物还能挖出整根胡萝卜吃个精光，获得额外营养。不过它只能作为饮食的一部分，因为它无法提供完全支撑一只动物所需的全部营养。;TestVal461
462;Squirrel;松鼠;TestVal462
463;Squirrel;一种在森林或林地区域蹦来蹦去的小啮齿动物。喜欢吃坚果和种子，偶尔还会跳上树！;TestVal463
464;Nut Tree;坚果树;TestVal464
465;Nut Tree;一种定期结出坚果的中等树木。这棵树需要在草地或林地区域生长，并为小动物提供食物。松鼠非常喜欢这棵树，因为它们需要坚果来生存，也喜欢爬上这棵树的树枝。;TestVal465
466;Potato Plant;马铃薯植株;TestVal466
467;Potato Plant;一种多叶植物，地下藏着大量富含淀粉的马铃薯！大多数动物只会吃这种植物的叶子，但有些动物有能力把整株马铃薯挖出来，挖出下面所有富含淀粉的美味。;TestVal467
468;Lizard;蜥蜴;TestVal468
469;Lizard;一种生活在热带地区的小型、色彩斑斓、身覆鳞片的动物。这种动物对栖息地并不挑剔，几乎可以在任何热带或丛林地区生存。;TestVal469
470;Desert Hare;沙漠野兔;TestVal470
471;Desert Hare;沙漠野兔是一种生活在沙漠中的快速小动物。它以仙人掌和沙漠草为食，并利用速度躲避掠食者。;TestVal471
472;Fox;狐狸;TestVal472
473;Fox;一只狡猾的狐狸。这种动物有一身漂亮的橙色皮毛，会捕猎小型哺乳动物。捕猎时，狐狸会试图抓住一只小动物，然后把它的肉带回家，供其他狐狸食用。;TestVal473
474;Hunting prey info;捕食;TestVal474
475;Bird Meat;鸟肉;TestVal475
476;Bird Meat;一些来自死鸟的多汁肉。;TestVal476
477;Small Meat;小块肉;TestVal477
478;Small Meat;一小块来自某种小动物的生肉。;TestVal478
479;Pike;狗鱼;TestVal479
480;Pike;一种凶残的食肉鱼！狗鱼会追逐并吃掉其他鱼类，喜欢生活在河床生物群系中。;TestVal480
481;Fish Eating Ai description;追逐猎物;TestVal481
482;Deer;鹿;TestVal482
483;Deer;一种生活在森林里非常容易受惊的动物。鹿主要吃灌木丛里的水果，但也时不时喜欢尝一口蜂蜜。;TestVal483
484;Hiding Ability;可以藏在：;TestVal484
485;Wobbly Tree;摇摇树;TestVal485
486;Wobbly Tree;一棵形状奇特、长着几簇叶子的树。这棵树只能在很少有其他树木生长的草地地区存活。需要很大的生存空间。由于树枝结实、寿命长，它是鸟类筑巢的最爱。;TestVal486
487;Eucalyptus Tree;桉树;TestVal487
488;Eucalyptus Tree;一种非常高大的草原树，是 Equilinox 中最高的树之一！鸟类喜欢在这棵树的高枝上栖息筑巢。这棵生长缓慢的树只生活在草地地区。;TestVal488
489;Banana Tree;香蕉树;TestVal489
490;Banana Tree;谁不喜欢美味的香蕉呢？！这种美味的黄色小吃长在这种热带树上，偶尔会掉到地上。许多小动物都会喜欢吃掉下来的香蕉。;TestVal490
491;Spindly Tree;梧桐树;TestVal491
492;Spindly Tree;一棵长满树枝的大树，供鸟类落脚。这棵树更喜欢生活在林地或森林地区。附近的草本植物还会提升这棵树的环境满意度。;TestVal492
493;Swamp Tree;黏液树;TestVal493
494;Swamp Tree;这棵树生活在沼泽生物群系中，需要非常潮湿泥泞的环境才能生存。它生长相当缓慢，但它是传播沼泽生物群系的好帮手。;TestVal494
495;Orange Tree;橙子树;TestVal495
496;Orange Tree;这棵果树长大后会长出橙子，橙子偶尔会掉到地上，被各种动物吃掉。有些动物甚至能撞到树，让多个橙子同时掉下来。;TestVal496
497;Mango Tree;芒果树;TestVal497
498;Mango Tree;一棵生长在热带地区、结出芒果的大树。它结出的大果实会从树上掉到地上，供附近动物食用。它能够在丛林和热带生物群系的较高海拔地区生活。;TestVal498
499;Wolf;狼;TestVal499
500;Wolf;一只贪婪的狼！这种掠食者会捕猎羊等大型食草动物。它更喜欢生活在高海拔地区，喜欢树木繁茂的岩石区域。;TestVal500
501;Oregano;牛至;TestVal501
502;Oregano;一种开着小白花的芳香小草本植物。牛至能在贫瘠的土壤中生长，并传播林地生物群系，因此是创建林地生态系统的理想入门植物。它也可以成为小型生物的食物来源。;TestVal502
503;Turnip;芜菁;TestVal503
504;Turnip;一种长着非常美味紫色块根的小植物。有些动物有能力挖出这种植物吃芜菁，而其他动物只会吃叶子。;TestVal504
505;Bullrush;香蒲;TestVal505
506;Bullrush;一种生长在水边的高大禾草状植物。许多水生动物都喜欢这种植物。;TestVal506
507;Water Lily;睡莲;TestVal507
508;Water Lily;这种水生植物在河流和池塘中生长良好。它在沼泽和河床生物群系中生长最好，是许多水生动物栖息地的绝佳补充。;TestVal508
509;Swamp Flower;沼泽花;TestVal509
510;Swamp Flower;一朵丑陋发霉的花。这种令人作呕的稀有植物生长在沼泽生物群系中。它不喜欢周围有蘑菇，所以尽量把它种在没有真菌的地方。;TestVal510
511;Tomato Plant;番茄植株;TestVal511
512;Tomato Plant;这种小型植物生长相对较快，能结出动物可以食用的多汁番茄。不过它相当难种，只能在非常肥沃的草地或林地区域的低海拔地区生存。;TestVal512
513;Blueberry Bush;蓝莓灌木;TestVal513
514;Blueberry Bush;一种结着美味蓝色浆果的大灌木。这种灌木在肥沃地区生长时能结出大量营养丰富的水果，因此可以成为许多动物的绝佳食物来源。;TestVal514
515;Breed Requirements Title;需求;TestVal515
516;Base Species Indicator;基础物种;TestVal516
517;Not yet discovered species;未发现！;TestVal517
518;Peacock;孔雀;TestVal518
519;Peacock;一种美丽而华丽的鸟！孔雀生活在繁茂、草原或林地生物群系中，偏好栖息地中有花。这只鸟有一身华丽的尾羽，偶尔用它来威慑敌人或其他孔雀。;TestVal519
520;Stats Tool Tip Title;统计数据;TestVal520
521;Stats Tool Tip Desc;关于这株植物/这只动物健康状况和当前状态的统计数据。;TestVal521
522;Evolve Tool Tip;进化;TestVal522
523;Evolve Tool Tip;开始新的进化过程以解锁新物种的选项。选择你想解锁的物种，如果所有条件都满足，就可以支付一些 DP 开始进化过程。;TestVal523
524;Actions Tool Tip;操作;TestVal524
525;Actions Tool Tip;可对该生物执行的各种操作。;TestVal525
526;Traits Tool Tip;特性;TestVal526
527;Traits Tool Tip;这株植物/这只动物当前特性的列表，以及基因改造传给后代特性的选项。;TestVal527
528;Buffs Tool Tip;表现增益;TestVal528
529;Buffs Tool Tip;目前影响该生物行为的所有增益效果。将鼠标悬停在增益效果上可查看其来源。;TestVal529
530;Evolution Tree Tool Tip;进化树;TestVal530
531;Evolution Tree Tool Tip;可以从该物种解锁的所有物种。将鼠标悬停在某个物种上，查看解锁它所需的条件。;TestVal531
532;Breeding Tool Tip;如何进化;TestVal532
533;Breeding Tool Tip;解锁该物种所需解锁的物种链条。将鼠标悬停在某个物种上，查看解锁它所需的条件。;TestVal533
534;Info Tool Tip;基本信息;TestVal534
535;Info Tool Tip;关于该物种的基本信息。;TestVal535
536;Dead Tree;枯树;TestVal536
537;Dead Tree;它是怎么生长的？没人知道。但我们知道的是，这棵黏糊糊的树生长在沼泽生物群系中。它是游戏中最难生长的树之一，但有很多树枝供鸟类栖息。;TestVal537
538;Diet Information (It eats the following:);食物;TestVal538
539;Hunger Info;所需食物/小时;TestVal539
540;Food Points;食物点数;TestVal540
541;Under Sea Task;海底世界;TestVal541
542;Under Sea Task desc;既然你有了海藻物种，你也可以开始在水下传播野生动物了。把海藻放到足够深的水中，等待它蔓延，创造出新的河床生物群系，从而开始新的水下生态系统。;TestVal542
543;Fishing Task;去钓鱼;TestVal543
544;Fishing Task;此任务需要你创建完整的水下生态系统，包含多种鱼类和海藻。先解锁必要的水生植物和鱼，然后用它们创建平衡的生态系统。;TestVal544
545;Diversify Task;多元化;TestVal545
546;Diversify Task;你现在可以从世界现有的动植物中培育出越来越多的物种。使用进化系统解锁一些新物种，为世界增添更多多样性。如果不知道下一步该进化什么，看看工具栏中的 状态与信息 标签找找灵感！;TestVal546
547;Evolution task Requirement, $0$ = number, $1$ = species name;进化出 $0$ 个新的 $1$ 物种;TestVal547
548;Evolution Task Req, $0$ = species name;已进化 $0$;TestVal548
549;An Apple a Day Task;一天一苹果;TestVal549
550;An Apple a Day Task;一些树木和灌木长大后可以结出果实，果实会定期从树上掉到地上供动物食用。此任务需要你让一只绵羊吃一个苹果，苹果会从苹果树上掉下来。;TestVal550
551;Eating Requirement, $0$ = food type;已吃掉 $0$;TestVal551
552;Eating Requirement, $0$ = animal, $1$ = count, $2$ = food;让一只 $0$ 吃掉 $1$ 个 $2$;TestVal552
553;Apple Every Day Task;每天一个苹果;TestVal553
554;Apple Every Day Task;这是一个可重复任务！你可以一遍又一遍地完成它，每次都能获得奖励。在世界中多放些苹果树，开始种植苹果，换取更稳定的 DP 收入！;TestVal554
555;Breed Req, $0$ = species;已产出 $0$;TestVal555
556;Breed Req, $0$ = count, $1$ = species;产出 $0$ 个 $1$;TestVal556
557;Apples Req;已产出的苹果;TestVal557
558;Apples Req, $0$ = count;产出 $0$ 个苹果;TestVal558
559;Diet Requirement;饮食;TestVal559
560;Apple Name;苹果;TestVal560
561;Barley;大麦;TestVal561
562;Barley;一种长出美味种子的草本植物。这种小型植物生长在林地生物群系中，是小型动物和鸟类的重要食物来源。可以和草本植物一起种植。;TestVal562
563;Bird Task Name (it's part of a saying, so don't translate literally);到手之鸟;TestVal563
564;Bird Task;用鸡培育出麻雀物种！有了一些麻雀后，确保它们生活在附近有合适树木可以筑巢的地方。寿命长、树枝多的树效果最好。过一段时间，鸟儿们就会开始筑巢！;TestVal564
565;Nest Building Req Short;已建成的鸟巢;TestVal565
566;Nest Building Req Long;让世界拥有一个完全建成且装满蛋的鸟巢;TestVal566
567;Duck Task;完全嘎嘎叫;TestVal567
568;Duck Task;用鸡培育出一些鸭子！为它们创造一片舒适的居住区域，靠近水边，既有水生植物也有陆地植物。;TestVal568
569;Grassy Plains Task;草原平原;TestVal569
570;Grassy Plains Task;开始培育草原植物、花卉和树木并使其多样化，打造美丽繁茂的草甸！通过满足新物种的繁殖条件，使用进化系统解锁新物种。;TestVal570
571;Merry Berry Task;快乐浆果;TestVal571
572;Merry Berry Task;解锁浆果灌木，为它创造合适的生长区域。在区域中放一些绵羊，确保它们吃够浆果！;TestVal572
573;Deserted Task;沙漠化;TestVal573
574;Deserted Task;在世界中创建沙漠生物群系，并至少拥有三种不同类型的仙人掌。;TestVal574
575;Woodland Task;林地生物群系;TestVal575
576;Woodland Task;开始使用进化系统解锁更多林地植物。牛至可以通过进化草来解锁，林地树木可以从橡树培育而来。用这些植物在世界中打造一个漂亮的林地生物群系，为一些林地生物做准备！;TestVal576
577;Carrot Task;兔子食物;TestVal577
578;Carrot Task;在兔子生活的区域种些胡萝卜，让兔子吃掉它们。但要小心，仅靠胡萝卜不足以满足兔子的饥饿，所以附近还需要其他食物来源。;TestVal578
579;24 Carrot Gold Task;24K胡萝卜金;TestVal579
580;24 Carrot Gold Task;基因改造一些胡萝卜，创造出闪闪发光的新品种金胡萝卜！把它们放在兔子生活的区域，让兔子挖出来吃掉。这是一个可重复任务，所以你可以不断完成并领取奖励。;TestVal580
581;Eating Requirement, $0$ = colour, $1$ = food type;已吃掉 $0$ $1$;TestVal581
582;Eating Requirement, $0$ = animal, $1$ = count, $2$ = colour, $3$ = food;让一只 $0$ 吃掉 $1$ 个 $2$ $3$;TestVal582
583;Forest Fauna Task;森林动植物;TestVal583
584;Forest Fauna Task;解锁更多森林植物和树木。有 3 种树和 3 种植物需要解锁。如果你全部培育出来，就会为雪原生物群系解锁一个新物种！;TestVal584
585;Mountaineering Task;登山运动;TestVal585
586;Mountaineering Task;在山上建立雪原生物群系，进化一些雪原生物群系的树木和植物，然后为绵羊创建一个有食物来源的合适山地生活区。这样你就能培育出山羊了！;TestVal586
587;Nut Task;全是坚果！;TestVal587
588;Nut Task;为一窝松鼠创建合适的林地生活区，并为它们提供坚果来源！此任务还要求世界中有至少 3 棵坚果树。;TestVal588
589;Nut Name;坚果;TestVal589
590;Deer;噢，鹿;TestVal590
591;Deer;让绵羊生活在林地生物群系中并以浆果为食，从而培育出鹿。解锁鹿物种后，确保它有合适的栖息地！;TestVal591
592;The Tropics Task;热带地区;TestVal592
593;The Tropics Task;热带生物群系是许多奇异生物的家园，是时候开始创建你的第一个热带生态系统了！创建一片热带草地区域，解锁多叶植物物种，并将其加入新的热带生物群系。;TestVal593
594;Coconut Task;全是椰子！;TestVal594
595;Coconut Task;为此任务建立你自己的小椰子树农场！在热带生物群系中放置一些棕榈树，确保它们对生长环境足够满意，从而产出大量椰子！;TestVal595
596;Coconut Name;椰子;TestVal596
597;Tropical Waters Task;热带水域;TestVal597
598;Tropical Waters Task;解锁一些热带陆地植物后，你就可以利用热带生物群系进化热带海藻物种了。这将让你解锁小丑鱼。这将是你水下热带生物群系的开始，是许多色彩斑斓鱼类物种的完美栖息地。;TestVal598
599;Marsh Task;陷入沼泽;TestVal599
600;Marsh Task;沼泽生物群系是一个黏糊糊的潮湿区域，大多数植物都难以在其中生长。不过有少数特定物种可以在那里生存。先用沼泽草和蘑菇开始创建沼泽生态系统。;TestVal600
601;Potato Task;土豆，土豆;TestVal601
602;Potato Task;一些聪明的动物能够挖出根茎蔬菜，为附近区域撒下额外的食物。野猪能够挖出马铃薯，所以在有野猪的区域种一些马铃薯植株，看着它们挖出来吃掉！;TestVal602
603;Potato name;马铃薯;TestVal603
604;Jungle Task;丛林之中;TestVal604
605;Jungle Task;用丛林草开始创建新的丛林生物群系。解锁丛林植物来提升生物群系质量，为强大的丛林生态系统做好准备！;TestVal605
606;Jungle Task;强大丛林;TestVal606
607;Jungle Task;培育一些更高等级的丛林物种，把它们加入你的丛林生物群系，打造一片茂密的丛林！这里将是昆虫生活的绝佳场所！;TestVal607
608;Mango Name;芒果;TestVal608
609;Butterfly Catch Req;已捕捉的蝴蝶;TestVal609
610;Butterfly Catch Req, 0 = count;让青蛙捕捉 $0$ 只蝴蝶。;TestVal610
611;Buftterfly Catch Task;捕捉蝴蝶;TestVal611
612;Buftterfly Catch Task;青蛙和蟾蜍等物种能够捕捉蝴蝶！创造一个青蛙和蝴蝶可以共同生活的栖息地，看着青蛙疯狂跳跃，试图抓到一顿美味！;TestVal612
613;Turnip Task;难得的芜菁;TestVal613
614;Turnip Task;疣猪是能生活在沼泽生物群系中的物种之一。这种动物只有在有足够芜菁可吃的情况下才能在沼泽中生存，所以为饥饿的疣猪打造一个充满芜菁的美味栖息地吧！;TestVal614
615;Lush Grass;繁茂草地;TestVal615
616;Lush Grass;一片亮绿色的草地，点缀着粉色和白色的小花。这种充满生机的植物可以在贫瘠之地生长，并传播繁茂生物群系，因此是创建繁茂生态系统的绝佳起点。与报春花一起种植效果很好。;TestVal616
617;Suitable Biome Requirement status (followed by a percentage);适宜生物群系;TestVal617
618;Suitable biome factor name (followed by list of suitable biomes);适宜生物群系;TestVal618
619;Barren Land biome;贫瘠之地;TestVal619
620;Hunger bar Name;饥饿;TestVal620
621;Current food diet title;饮食;TestVal621
622;Orange (the fruit);橙子;TestVal622
623;Mixed (as in a mixed diet);混合;TestVal623
624;Beaver Task Name;忙碌的海狸;TestVal624
625;Beaver Task Description;海狸是 Equilinox 中最有趣的生物之一。如果你把它们放在有树的水边区域，它们就会开始建造巢穴！它们会砍倒树木，用木材在水边建造巢穴。;TestVal625
626;Lodge Build Requirement Short;已建成的巢穴;TestVal626
627;Lodge Build Requirement Long;完全建成的海狸巢穴;TestVal627
628;Butterfly Task Name;翩翩飞舞;TestVal628
629;Butterfly Task Desc;没有一些爬虫小虫的世界会很无聊！你能放进世界的第一种昆虫是蝴蝶。这些生物一开始是小毛毛虫，但很快就会长成光彩夺目的彩色蝴蝶！确保附近有大量的花！;TestVal629
630;Honey Task;蜂蜜，我回来了！;TestVal630
631;Honey Task Name;Equilinox 中的蜜蜂有能力建造蜂巢结构并在其中生产蜂蜜。你只需要确保附近有充足的花供应，蜜蜂就会快乐地工作，生产出甜美的金色美味。;TestVal631
632;Turtle Task;饥饿的乌龟;TestVal632
633;Turtle Task Description;乌龟喜欢吃多样化的饮食，所以为一些乌龟创建合适的区域，并为它们提供不同的食物来源。它们最喜欢的食物是椰子和热带海藻。;TestVal633
634;Mushroom Task;蘑菇大师;TestVal634
635;Mushroom Task;蘑菇是几乎所有栖息地的绝佳补充！沿着蘑菇进化树一路前进，解锁所有不同的蘑菇物种即可完成此任务。;TestVal635
636;Lush Task;繁茂！;TestVal636
637;Lush Task Description;繁茂生物群系是一个美妙的粉色生物群系，孕育着 Equilinox 中最美丽的一些树木。从基础的繁茂植物和第一棵繁茂生物群系树木开始创建你的新生物群系。;TestVal637
638;Pike Task;狗鱼出击;TestVal638
639;Pike Task;Equilinox 并非全是和平——有些动物是掠食者，以其他动物的肉为食！狗鱼就是这样的物种。这种大型鱼类生活在河床生物群系中，捕猎较小的鱼。其他鱼会试图逃跑躲藏，但狗鱼快得多！;TestVal639
640;More tasks message, 0 = count;还有 $0$ 个任务……;TestVal640
641;Repeating task category;可重复;TestVal641
642;Turtle Ability;附近有掠食者时缩进壳里保护自己。;TestVal642
643;Turtle Action Description;躲藏中;TestVal643
644;Scare Ability;吓唬动物;TestVal644
645;Altitude Factor Name;海拔因素;TestVal645
646;Good Altitude;良好;TestVal646
647;Bad Altitude;较差;TestVal647
648;Below an altitude, 0=altitude;低于 $0$ 米;TestVal648
649;Above an altitude, 0 = altitude;高于 $0$ 米;TestVal649
650;Between two altitudes, 0 = altitude, 1 = altitude;介于 $0$ 米和 $1$ 米之间;TestVal650
651;Preferred Living Altitude;偏好海拔;TestVal651
652;Music Unlock Reward Info, 0 = track name;解锁 $0$ 音乐曲目;TestVal652
653;Music Unlock Notification Title;已解锁音乐曲目！;TestVal653
654;Music Unlock Notification Description, 0=track name;$0$ 音乐曲目现已解锁，可在音乐标签中播放。;TestVal654
655;Music Queue;播放队列;TestVal655
656;Task Requirement Done;已完成;TestVal656
657;Task Requirement Not Done;未完成;TestVal657
658;Animal Death Notification;动物死亡;TestVal658
659;Animal Death notification content, 0 = animal name;$0$ 不幸去世了。;TestVal659
660;Animal Name;名字;TestVal660
661;Autosave message;自动保存中……;TestVal661
662;Sheep Baa Task Requirement Name;绵羊咩叫;TestVal662
663;Sheep Baa Task Requirement Desc;操控一只绵羊并咩叫;TestVal663
664;Cutting Tree Requirement, 0 = count;已砍伐 $0$ 棵树;TestVal664
665;Cutting Tree Requirement, 0 = count;让一些海狸砍倒 $0$ 棵树;TestVal665
666;Tree Cutting Task Name;伐木节奏;TestVal666
667;Tree Cutting Task Desc;我试图为这个标题编一个数学笑话。它既像对数（logarithm），又像伐木者的节奏（logger rhythm），因为这个任务就是要让海狸进入良好的伐木节奏。也许我想太多了。这是一个可重复任务，所以每次完成都能获得大量 DP。砍砍砍！;TestVal667
668;Hungry Fish Task;饥饿的鱼;TestVal668
669;Hungry Fish Task Desc;狗鱼算是美食专家，喜欢品尝各种不同种类的鱼。这个可重复任务每次狗鱼吃掉一定数量的其他鱼时，都会为你提供 DP 奖励。;TestVal669
670;Butterfly Hunter;蝴蝶猎手;TestVal670
671;Butterfly Hunter Task;那些青蛙还在饿着！确保青蛙有源源不断的蝴蝶可吃，你就有了新的多样性点数收入来源。;TestVal671
672;Banana Farmer;香蕉农夫;TestVal672
673;Banana Farmer Task;开始种香蕉吧！创建一座完整的香蕉种植园，开始大把赚钱！香蕉树越多，收获的香蕉越多，收入也就越高。确保它们对生长环境满意，以获得最大产量。;TestVal673
674;Banana Requirement;已产出的香蕉;TestVal674
675;Banana Requirement, 0 = count;产出 $0$ 根香蕉;TestVal675
676;Tree Bark Name;树皮;TestVal676
677;Honey Harvester Task;蜂蜜收割者;TestVal677
678;Honey Harvester Task;是时候收割蜜蜂酿造的所有美味蜂蜜了！如果世界中有熊，它们可以帮你收割。否则，你需要在蜂巢的操作标签中手动收割蜂蜜。;TestVal678
679;Honey Harvester Req Short;已收割的蜂蜜;TestVal679
680;Honey Harvester Req;从蜂巢中收割蜂蜜;TestVal680
681;Digging a Hole Task;挖个洞;TestVal681
682;Digging a Hole Task;野猪想吃马铃薯！为它们提供成片的马铃薯植株让它们挖，你就能赚到更多 DP。;TestVal682
683;Welcome Message Title;欢迎;TestVal683
684;Welcome Message;欢迎来到 Equilinox！点击闪烁的任务标签，按照第一个任务的指引开始游戏。;TestVal684
685;Start Breeding Button;开始进化;TestVal685
686;Breed requirements not met;条件未满足;TestVal686
687;Not enough money button;DP 不足;TestVal687
688;Breeding in progress message;进行中;TestVal688
689;Species unlocked message;已解锁！;TestVal689
690;Message to say which species this entity evolves from;由以下物种进化而来;TestVal690
691;Bear Name;熊;TestVal691
692;Bear Description;一只又大又吓人的熊！这种大型哺乳动物在森林中游荡，永不停歇地寻找蜂蜜。熊有能力从蜂巢中收割和吃掉蜂蜜，并且能承受愤怒蜜蜂的大量蜇刺！熊通常很温顺，但偶尔也会生气，攻击附近其他较小的动物。;TestVal692
693;Generate World Button;生成世界;TestVal693
694;World Size Option Name;世界大小;TestVal694
695;World Size Option;小;TestVal695
696;World Size Option;普通;TestVal696
697;World Size Option;大;TestVal697
698;Water Options;水域选项;TestVal698
699;Water Options;干燥世界;TestVal699
700;Water Options;普通世界;TestVal700
701;Water Options;潮湿世界;TestVal701
702;Terrain Options;地形选项;TestVal702
703;Terrain Options;平坦;TestVal703
704;Terrain Options;普通;TestVal704
705;Terrain Options;多山;TestVal705
706;Ash Tree Name;白蜡树;TestVal706
707;Ash Tree Description;一种非常耐寒的树，能够在各种不同的生物群系中轻松生长。它更喜欢周围有花，栖息地里有岩石。一棵非常好看的树，深受许多动物喜爱！;TestVal707
708;Help Pages;野生动物基础;TestVal708
709;Help Pages;Equilinox 中的每株植物和每只动物都有自己的生命周期。它们会随时间生长、繁殖，最终死亡。本节将讲解照料野生动物的基础知识！;TestVal709
710;Help Pages;物种信息面板;TestVal710
