ID;Description;English;Testing
394;Turtle;一种吃植物和水果的小型爬行动物。 它既能生活在陆地上也能生活在水中， 但需要潮湿的地区。 受惊时可以缩进壳里保护自己免受捕食者侵害。 通过下蛋繁殖。;TestVal394
395;Berry Bush;浆果灌木;TestVal395
396;Berry Bush;一种定期产出营养红色浆果的小灌木。 这些浆果能为许多小动物提供食物来源。 这种灌木在森林和林地地区生长良好。;TestVal396
397;Goat;山羊;TestVal397
398;Goat;山羊物种喜欢生活在高海拔地区， 以小型植物和水果为食。 虽然害怕捕食者， 但山羊在被攻击时会反击。 它有时还会撞击附近的果树， 把果实都撞落。;TestVal398
399;Fruiter Ability;定期产出可供动物 食用的果实。;TestVal399
400;Flee Ability;逃离捕食者。;TestVal400
401;Attack Ability;被其他动物攻击时 会反击。;TestVal401
402;Tree Charge Ability;撞击附近的 果树将果实撞落到 地上。;TestVal402
403;Fruit Production Buff;结果率;TestVal403
404;Fruit Production Buff;果实产出率取决于植物对其环境的满意程度。 越满意， 产出果实就越快。;TestVal404
405;Guinea Pig;豚鼠;TestVal405
406;Guinea Pig;一种毛茸茸的小动物， 到处蹦跶。 偏好生活在草原或林地地区， 吃水果、 浆果、 蔬菜和草。 这种小啮齿动物很容易受惊， 有时甚至毫无理由地惊慌失措。;TestVal406
407;Panic Description;有时会惊慌失措， 恐惧地四处奔跑。;TestVal407
408;Clown Fish;小丑鱼;TestVal408
409;Clown Fish;一种色彩鲜艳的鱼， 看起来有点迷路了。 这种鱼生活在热带水域， 以较大的群体生活。;TestVal409
410;Tropical Seaweed;热带海草;TestVal410
411;Tropical Seaweed;一些生长在热带地区的海草。 需要在岩石附近生活但不喜欢睡莲。 是小丑鱼物种的完美栖息地。;TestVal411
412;Frog;青蛙;TestVal412
413;Frog;一种小型跳跃动物。 青蛙喜欢生活在丛林中， 但也能在其他生态群落中存活。 它以蜜蜂和蝴蝶等昆虫为食， 用跳跃能力捕捉它们。;TestVal413
414;Butterfly;蝴蝶;TestVal414
415;Butterfly;一种非常色彩鲜艳的昆虫， 在田野中飞来飞去。 它能提高附近果树的产量， 喜欢花丛地区。 是青蛙和蟾蜍的主要目标。;TestVal415
416;Insect Catching Ability;定期尝试捕捉并 吃掉附近的 昆虫。;TestVal416
417;Toad;蟾蜍;TestVal417
418;Toad;一种偏好生活在沼泽地区的小型疣状生物。 喜欢蘑菇， 昆虫靠近就会尝试捕捉。;TestVal418
419;Monkey Behaviour;幼年时攀附在 父母身上被 带着走。;TestVal419
420;Cling Behaviour;攀附在父母身上;TestVal420
421;Cling Behaviour;去找父母;TestVal421
422;Swing Behaviour;在树上荡来荡去;TestVal422
423;Monkey;猴子;TestVal423
424;Monkey;一种敏捷的类人哺乳动物。 猴子喜欢在丛林的树间荡来荡去， 幼年时会攀附在父母身上。 喜欢吃水果， 尤其是香蕉。;TestVal424
425;Swinging Ability;可以从一棵树荡到另一棵树（开发中） 。;TestVal425
426;Bird;麻雀;TestVal426
427;Bird;一种小型森林鸟。 麻雀飞来飞去， 偶尔落在附近树枝上。 麻雀筑巢并在巢中下蛋来繁殖。 这种鸟几乎可以在世界任何地方生活， 只要有树就行！;TestVal427
428;Nest;鸟巢;TestVal428
429;Nest;小鸟建造的巢。 可以在这里下蛋。;TestVal429
430;Nesting Behaviour;需要巢穴 / 洞穴才能繁殖。;TestVal430
431;Building ability, 0 = object that the species builds;有能力建造 $0$。;TestVal431
432;Toucan;巨嘴鸟;TestVal432
433;Toucan;一种黑白相间的丛林鸟， 有着大嘴巴！ 巨嘴鸟在树上筑巢并下蛋繁殖。 虽然主要是丛林鸟， 但也能在葱郁和热带生态群落中存活。;TestVal433
434;Beaver;海狸;TestVal434
435;Beaver;海狸是一种喜欢生活在水源附近的小型哺乳动物。 它有能力砍伐树木， 然后用树枝在水中建造巢穴。 海狸需要巢穴才能繁殖。 海狸喜欢吃树皮和水生植物。;TestVal435
436;Lodge;海狸巢;TestVal436
437;Lodge;海狸用树枝建造的家。 这些巢穴由海狸建造， 是海狸繁殖的必要条件。 必须建在水源附近。;TestVal437
438;Bee;蜜蜂;TestVal438
439;Bee;一只嗡嗡叫的小蜜蜂！ 这些昆虫飞来飞去从花中采集花蜜并建造蜂巢。 当附近有完全建好的蜂巢时， 蜜蜂会用它来开始生产蜂蜜。 不过它们会蛰附近的哺乳动物， 除非被安抚。;TestVal439
440;Hive;蜂巢;TestVal440
441;Hive;蜜蜂建造的蜂巢。 蜜蜂可以通过不断访问来逐渐建造蜂巢， 当蜂巢完全建好后， 蜜蜂会用它来开始生产蜂蜜。 每次蜜蜂访问时蜂蜜量都会增加， 蜂蜜可以被其他动物食用。;TestVal441
442;Info Type;概览;TestVal442
443;Info Type;栖息地;TestVal443
444;Info Type;能力;TestVal444
445;Hostile Ability;这种敌对动物会随 机攻击靠得太近的 附近动物。;TestVal445
446;Attack Action Name;攻击;TestVal446
447;Meat;肉;TestVal447
448;Meat;一只中等大小死亡 动物的肉。;TestVal448
449;Remaining portions of food;剩余份数;TestVal449
450;Snap Dragon;金鱼草;TestVal450
451;Snap Dragon;一种具有镇静特性的美丽花朵。 被攻击性动物食用时有镇静效果。 需要非常肥沃的土壤才能存活， 偏好林地地区。;TestVal451
452;Pacify Ability;被食用时安抚攻击 性动物。;TestVal452
453;Effect Buff Name;当前效果;TestVal453
454;Pacify Buff;已安抚;TestVal454
455;Pacify cause;这只动物目前已被安抚， 不会随机攻击附近的动物。 这个效果是由食用某种植物引起的。;TestVal455
456;Bee Ability;在完全建好的 蜂巢中生产蜂蜜。;TestVal456
457;Homney Trait Name;蜂蜜产量;TestVal457
458;Rabbit;兔子;TestVal458
459;Rabbit;一种饥饿的小啮齿动物， 喜欢吃胡萝卜。 兔子喜欢在花丛中蹦来蹦去。 但它们经常被捕食者猎杀。;TestVal459
460;Carrot;胡萝卜;TestVal460
461;Carrot;一种顶部有绿叶的根茎蔬菜。 可以吃叶子， 有些动物能挖出整根胡萝卜获得更多营养。 只能作为饮食的一部分。;TestVal461
462;Squirrel;松鼠;TestVal462
463;Squirrel;一种在森林或林地地区蹦来蹦去的小啮齿动物。 偏好吃坚果和种子， 偶尔会跳到树上！;TestVal463
464;Nut Tree;坚果;TestVal464
465;Nut Tree;坚果是一种中等大小的树， 定期产出坚果。 需要在草原或林地地区生长， 为小动物提供食物。 松鼠非常喜欢这种树。;TestVal465
466;Potato Plant;土豆植株;TestVal466
467;Potato Plant;一种多叶植物， 下面有很多淀粉质土豆！ 大多数动物只吃叶子， 但有些能挖出整棵植株。;TestVal467
468;Lizard;蜥蜴;TestVal468
469;Lizard;一种小型、 色彩鲜艳的有鳞动物， 生活在热带地区。 对栖息地不太挑剔。;TestVal469
470;Desert Hare;沙漠野兔;TestVal470
471;Desert Hare;沙漠野兔是一种小型快速动物， 栖息在沙漠中。 以仙人掌和沙漠草为食， 用速度逃避捕食者。;TestVal471
472;Fox;狐狸;TestVal472
473;Fox;一只狡猾的狐狸。 这种动物有漂亮的橙色皮毛， 猎食小型哺乳动物。;TestVal473
474;Hunting prey info;猎食;TestVal474
475;Bird Meat;鸟肉;TestVal475
476;Bird Meat;一些来自死鸟的 多汁肉。;TestVal476
477;Small Meat;小肉块;TestVal477
478;Small Meat;一小块来自某小动 物的生肉。;TestVal478
479;Pike;梭鱼;TestVal479
480;Pike;一种凶猛的食肉鱼！ 梭鱼会追逐并吃掉其他鱼， 喜欢生活在河床生态群落中。;TestVal480
481;Fish Eating Ai description;追逐猎物;TestVal481
482;Deer;鹿;TestVal482
483;Deer;一种非常警觉的动物， 生活在树林中。 鹿主要吃灌木上的水果， 偶尔也品尝蜂蜜。;TestVal483
484;Hiding Ability;可以躲在:;TestVal484
485;Wobbly Tree;摇摆树;TestVal485
486;Wobbly Tree;一种形状奇特的树， 有几丛叶子。 只能在其他树很少的草地地区存活。 需要大量空间。;TestVal486
487;Eucalyptus Tree;桉树;TestVal487
488;Eucalyptus Tree;一种非常高的草原树， 是Equilinox中最高的之一！ 鸟类喜欢在高处的树枝上栖息筑巢。;TestVal488
489;Banana Tree;香蕉树;TestVal489
490;Banana Tree;谁不喜欢美味的香蕉呢？ ！ 美味的黄色零食长在这种热带树上， 偶尔掉落到地面。;TestVal490
491;Spindly Tree;梧桐树;TestVal491
492;Spindly Tree;一种大树， 有很多树枝供鸟类栖息。 偏好生活在林地或森林地区。 附近的草本植物会提高其环境满意度。;TestVal492
493;Swamp Tree;黏滑树;TestVal493
494;Swamp Tree;这种树生活在沼泽生态群落中， 需要非常潮湿阴暗的环境才能存活。 生长较慢， 但是沼泽生态群落的良好传播者。;TestVal494
495;Orange Tree;橘子树;TestVal495
496;Orange Tree;完全长成后这种果树会结出橘子， 偶尔掉落到地面供各种动物食用。 有些动物甚至能撞击树干一次掉落多个橘子。;TestVal496
497;Mango Tree;芒果树;TestVal497
498;Mango Tree;一种生活在热带的大型芒果树。 产出大果实， 掉落到地面后可被附近动物食用。 能在丛林和热带生态群落的较高海拔地区生长。;TestVal498
499;Wolf;狼;TestVal499
500;Wolf;一只饥饿的狼！ 这种捕食者会猎食绵羊等大型食草动物。 偏好生活在较高海拔， 喜欢多石且有大量树木的地区。;TestVal500
501;Oregano;牛至;TestVal501
502;Oregano;一种非常芳香的小型草本植物， 开有白色小花。 能在贫瘠土壤中生长， 传播林地生态群落， 是创建林地生态系统的良好起始植物。;TestVal502
503;Turnip;芜菁;TestVal503
504;Turnip;一种小型植物， 有非常美味的紫色根茎。 有些动物能挖出这种植物吃掉芜菁， 其他动物则只吃叶子。;TestVal504
505;Bullrush;香蒲;TestVal505
506;Bullrush;一种生长在水边的高草状植物。 许多水生动物喜欢这种植物。;TestVal506
507;Water Lily;睡莲;TestVal507
508;Water Lily;这种水生植物在河流和池塘中生长良好。 在沼泽和河床生态群落中生长最好， 是许多水生动物栖息地的好补充。;TestVal508
509;Swamp Flower;沼泽花;TestVal509
510;Swamp Flower;一种丑陋的霉花。 这种恶心的稀有植物生长在沼泽生态群落中。 不喜欢蘑菇的存在， 所以尽量种在没有真菌的地方。;TestVal510
511;Tomato Plant;番茄植株;TestVal511
512;Tomato Plant;这种小型植物生长相对较快， 产出多汁的番茄供动物食用。 但种植比较困难， 只能在非常肥沃的草原或林地的极低海拔地区存活。;TestVal512
513;Blueberry Bush;蓝莓灌木;TestVal513
514;Blueberry Bush;一种长有美味蓝莓的大灌木。 在肥沃地区生长时产出大量营养果实， 是许多动物的优质食物来源。;TestVal514
515;Breed Requirements Title;需求;TestVal515
516;Base Species Indicator;基础物种;TestVal516
517;Not yet discovered species;未发现！;TestVal517
518;Peacock;孔雀;TestVal518
519;Peacock;一种美丽的炫耀鸟！ 孔雀生活在葱郁、 草原或林地生态群落中， 偏好栖息地中有花。 这种鸟有华丽的尾羽， 偶尔用来驱赶敌人或其他孔雀。;TestVal519
520;Stats Tool Tip Title;统计数据;TestVal520
521;Stats Tool Tip Desc;关于这棵植物 / 动物的健康和 当前状态的 统计数据。;TestVal521
522;Evolve Tool Tip;进化;TestVal522
523;Evolve Tool Tip;开始新的进化过程以解锁新物种的选项。 选择你想解锁的物种， 如果满足所有条件， 你可以花一些DP开始进化过程。;TestVal523
524;Actions Tool Tip;操作;TestVal524
525;Actions Tool Tip;可以对此生物执行 的各种操作。;TestVal525
526;Traits Tool Tip;特征;TestVal526
527;Traits Tool Tip;此植物/动物当前特征的列表， 以及修改传递给后代的特征的选项。;TestVal527
528;Buffs Tool Tip;增益效果;TestVal528
529;Buffs Tool Tip;当前影响此生物行为的增益效果。 鼠标悬停在增益上可查看其来源。;TestVal529
530;Evolution Tree Tool Tip;进化树;TestVal530
531;Evolution Tree Tool Tip;可以从此物种解锁的所有物种。 鼠标悬停在物种上可查看解锁条件。;TestVal531
532;Breeding Tool Tip;如何进化;TestVal532
533;Breeding Tool Tip;为解锁此物种需要依次解锁的物种链。 鼠标悬停在物种上可查看解锁条件。;TestVal533
534;Info Tool Tip;一般信息;TestVal534
535;Info Tool Tip;关于此物种的 一般信息。;TestVal535
536;Dead Tree;枯树;TestVal536
537;Dead Tree;它怎么在生长？ 没人知道。 但我们知道这种黏滑的树生长在沼泽生态群落中。 这是游戏中生长最慢的树之一， 但有很多树枝供鸟类栖息。;TestVal537
538;Diet Information (It eats the following:);食物;TestVal538
539;Hunger Info;每小时所需食物;TestVal539
540;Food Points;食物点数;TestVal540
541;Under Sea Task;海底世界;TestVal541
542;Under Sea Task desc;现在你有了海草物种， 可以开始在水下也扩展野生动植物了。 将海草放置在足够深的水中开始新的水下生态系统， 等待它扩散创建新的河床生态群落。;TestVal542
543;Fishing Task;去钓鱼;TestVal543
544;Fishing Task;这个任务需要你创建一个完整的水下生态系统， 有多种鱼和海草。 先解锁必要的水生植物和鱼， 然后用它们创建平衡的生态系统。;TestVal544
545;Diversify Task;多样化;TestVal545
546;Diversify Task;你现在可以开始从当前世界中的植物和动物培育更多物种了。 使用进化系统解锁一些新物种来增加世界的多样性。 如果不确定接下来进化什么， 查看工具栏中的^统计与信息^栏获取灵感！;TestVal546
547;Evolution task Requirement, $0$ = number, $1$ = species name;进化 $0$ 个新的 $1$ 物种;TestVal547
548;Evolution Task Req, $0$ = species name;已进化$0$;TestVal548
549;An Apple a Day Task;一天一苹果;TestVal549
550;An Apple a Day Task;一些树和灌木完全长成后能产出果实， 果实会定期从树上掉落到地面供动物食用。 这个任务你需要让一只绵羊吃一个从苹果树上掉下来的苹果。;TestVal550
551;Eating Requirement, $0$ = food type;$0$已食用;TestVal551
552;Eating Requirement, $0$ = animal, $1$ = count, $2$ = food;让一只$0$吃$1$个$2$;TestVal552
553;Apple Every Day Task;每天一苹果;TestVal553
554;Apple Every Day Task;这是一个可重复任务！ 你可以反复完成这个任务， 每次都能获得奖励。 在世界中添加更多苹果树， 开始种苹果赚取更多稳定的DP收入！;TestVal554
555;Breed Req, $0$ = species;$0$已产出;TestVal555
556;Breed Req, $0$ = count, $1$ = species;产出$0$个$1$;TestVal556
557;Apples Req;苹果已产出;TestVal557
558;Apples Req, $0$ = count;产出$0$个苹果;TestVal558
559;Diet Requirement;饮食;TestVal559
560;Apple Name;苹果;TestVal560
561;Barley;大麦;TestVal561
562;Barley;一种长有美味种子的草本植物。 这种小型植物生长在林地生态群落中， 是最小动物和鸟类的优质食物来源。 可以和草本植物一起种植。;TestVal562
563;Bird Task Name (it's part of a saying, so don't translate literally);手中之鸟;TestVal563
564;Bird Task;用鸡来培育麻雀物种！ 一旦有了麻雀， 确保它们生活在适合筑巢的树附近。 寿命长且树枝多的树效果最好。 过一会儿鸟就会开始筑巢！;TestVal564
565;Nest Building Req Short;完全建好的巢;TestVal565
566;Nest Building Req Long;世界中有 一个完全建好并 填满蛋的 巢;TestVal566
567;Duck Task;嘎嘎叫;TestVal567
568;Duck Task;用鸡来培育一些鸭子！ 为它们创建一个靠近水源、 有水生和陆生植物的好区域。;TestVal568
569;Grassy Plains Task;青青草原;TestVal569
570;Grassy Plains Task;开始培育和多样化草原植物、 花和树木， 创建美丽丰茂的草地！ 使用进化系统满足新物种的繁殖条件来解锁它们。;TestVal570
571;Merry Berry Task;快乐浆果;TestVal571
572;Merry Berry Task;解锁浆果灌木并为它创建适宜的生长区域。 在该区域放一些绵羊， 确保它们吃饱浆果！;TestVal572
573;Deserted Task;荒漠;TestVal573
574;Deserted Task;在世界中创建一个沙漠生态群落， 至少有三种不同类型的仙人掌。;TestVal574
575;Woodland Task;林地生态群落;TestVal575
576;Woodland Task;开始使用进化系统解锁更多林地植物。 牛至可以通过进化草来解锁， 林地树可以从橡树培育。 用这些植物在世界中创建漂亮的林地生态群落， 为一些林地生物做准备！;TestVal576
577;Carrot Task;兔子的食物;TestVal577
578;Carrot Task;在有兔子的区域种一些胡萝卜， 让兔子吃胡萝卜。 但要注意， 胡萝卜单独不能满足兔子的饥饿感， 所以你需要附近有其他食物来源。;TestVal578
579;24 Carrot Gold Task;24K金萝卜;TestVal579
580;24 Carrot Gold Task;基因改造一些胡萝卜， 创建闪亮的金色胡萝卜新品种！ 把它们放在有兔子的区域， 让兔子挖出来吃掉。 这是可重复任务， 可以持续完成并领取奖励。;TestVal580
581;Eating Requirement, $0$ = colour, $1$ = food type;$0$$1$已食用;TestVal581
582;Eating Requirement, $0$ = animal, $1$ = count, $2$ = colour, $3$ = food;让一只$0$吃$1$个$2$$3$;TestVal582
583;Forest Fauna Task;森林动植物;TestVal583
584;Forest Fauna Task;解锁更多森林植物和树木。 有3棵树和3棵植物要解锁。 如果你培育了所有它们， 就会解锁雪地生态群落的新物种！;TestVal584
585;Mountaineering Task;登山;TestVal585
586;Mountaineering Task;在山区建立雪地生态群落， 进化一些雪地生态群落的树和植物， 然后为绵羊创建有食物来源的适宜山区生活区。 这样你就能培育山羊了！;TestVal586
587;Nut Task;坚果狂热！;TestVal587
588;Nut Task;为松鼠家族创建适宜的林地生活区并为它们提供坚果来源！ 这个任务还需要世界中至少有3棵坚果树。;TestVal588
589;Nut Name;坚果;TestVal589
590;Deer;哦，鹿;TestVal590
591;Deer;通过让绵羊在以浆果为食的林地生态群落中来培育鹿。 解锁鹿物种后确保有适宜的栖息地！;TestVal591
592;The Tropics Task;热带;TestVal592
593;The Tropics Task;热带生态群落是许多异域生物的家园， 是时候开始创建你的第一个热带生态系统了！ 种一片热带草， 解锁多叶植物物种， 添加到新的热带生态群落中。;TestVal593
594;Coconut Task;椰子狂热！;TestVal594
595;Coconut Task;为这个任务建立你自己的小椰子农场！ 在热带生态群落中放置一些棕榈树， 确保它们对环境足够满意以产出大量椰子！;TestVal595
596;Coconut Name;椰子;TestVal596
597;Tropical Waters Task;热带水域;TestVal597
598;Tropical Waters Task;一旦你解锁了一些热带陆地植物， 就能用热带生态群落来进化热带海草物种。 然后你就能解锁小丑鱼。 这将是你水下热带生态群落的开始， 是许多色彩鲜艳鱼类的完美栖息地。;TestVal598
599;Marsh Task;沼泽地;TestVal599
600;Marsh Task;沼泽生态群落是一个黏滑潮湿的区域， 大多数植物难以生长。 但有少数特定物种能在那里存活。 用一些沼泽草和蘑菇开始创建沼泽生态系统。;TestVal600
601;Potato Task;土豆土豆;TestVal601
602;Potato Task;一些聪明的动物能挖出根茎蔬菜， 在附近地区散布额外食物。 野猪能挖出土豆， 所以在有野猪的区域种一些土豆植株， 看它们挖出来吃土豆！;TestVal602
603;Potato name;土豆;TestVal603
604;Jungle Task;丛林中;TestVal604
605;Jungle Task;用丛林草开始创建新的丛林生态群落。 解锁丛林植物来改善生态群落， 为强大的丛林生态系统做好准备！;TestVal605
606;Jungle Task;茂密丛林;TestVal606
607;Jungle Task;培育一些更高级的丛林物种并添加到你的丛林生态群落中， 创建密集的丛林！ 这将是昆虫生活的完美场所！;TestVal607
608;Mango Name;芒果;TestVal608
609;Butterfly Catch Req;蝴蝶被捕捉;TestVal609
610;Butterfly Catch Req, 0 = count;让 $0$ 只蝴蝶被 青蛙捕捉。;TestVal610
611;Buftterfly Catch Task;捕蝶;TestVal611
612;Buftterfly Catch Task;一些物种如青蛙和蟾蜍能捕捉蝴蝶！ 创建一个青蛙和蝴蝶能共同生活的栖息地， 看那些青蛙疯狂地跳来跳去试图捕捉美味的一口！;TestVal612
613;Turnip Task;芜菁传奇;TestVal613
614;Turnip Task;能生活在沼泽生态群落的物种之一是疣猪。 这种动物只有在有足够芜菁吃的情况下才能在沼泽中存活， 所以为那些饥饿的疣猪创建一个充满芜菁的栖息地！;TestVal614
615;Lush Grass;葱郁草;TestVal615
616;Lush Grass;一片明亮的绿色草地， 点缀着粉白色小花。 这种充满活力的植物能在荒地生长并传播葱郁生态群落， 是创建葱郁生态系统的良好起点。 和报春花搭配效果好。;TestVal616
617;Suitable Biome Requirement status (followed by a percentage);适宜生态群落;TestVal617
618;Suitable biome factor name (followed by list of suitable biomes);适宜生态群落;TestVal618
619;Barren Land biome;荒地;TestVal619
620;Hunger bar Name;饥饿度;TestVal620
621;Current food diet title;饮食;TestVal621
622;Orange (the fruit);橘子;TestVal622
623;Mixed (as in a mixed diet);混合;TestVal623
624;Beaver Task Name;海狸筑坝;TestVal624
625;Beaver Task Description;海狸是Equilinox中最有趣的生物之一。 如果你把它们放在靠近水源且有树的地区， 它们就会开始建造巢穴！ 它们会砍伐树木并用木材在水边建造巢穴。;TestVal625
626;Lodge Build Requirement Short;巢穴已建造;TestVal626
627;Lodge Build Requirement Long;完全建好的海狸巢;TestVal627
628;Butterfly Task Name;蝴蝶飞飞;TestVal628
629;Butterfly Task Desc;没有一些小虫子的存在世界会很无聊！ 你能添加到世界中的第一种昆虫是蝴蝶。 这些生物一开始是小毛毛虫， 但很快会长成华丽的彩色蝴蝶！ 确保附近有很多花！;TestVal629
630;Honey Task;蜂蜜，我回来了！;TestVal630
631;Honey Task Name;Equilinox中的蜜蜂有能力建造蜂巢结构并在其中生产蜂蜜。 你只需要确保附近有良好的花供应， 蜜蜂就会快乐地工作， 产出它们甜蜜的金色美味。;TestVal631
632;Turtle Task;饥饿的乌龟;TestVal632
633;Turtle Task Description;乌龟喜欢吃多样化的饮食， 所以为一些乌龟创建适宜的区域并提供不同的食物来源。 它们最喜欢的是椰子和热带海草。;TestVal633
634;Mushroom Task;蘑菇大师;TestVal634
635;Mushroom Task;蘑菇几乎对任何栖息地都是很好的补充！ 沿着蘑菇进化树前进， 解锁所有不同的蘑菇物种来完成此任务。;TestVal635
636;Lush Task;葱郁！;TestVal636
637;Lush Task Description;葱郁生态群落是一个美妙的粉色生态群落， 支撑着Equilinox中一些最美丽的树。 用基本的葱郁植物和第一棵葱郁生态群落树开始创建你的新生态群落。;TestVal637
638;Pike Task;梭鱼出击;TestVal638
639;Pike Task;Equilinox不全是和平的——有些动物是捕食者， 以其他动物的肉为食！ 梭鱼就是这样的物种。 这种大鱼生活在河床生态群落中， 猎食较小的鱼。 其他鱼会试图逃跑和躲藏， 但梭鱼快得多！;TestVal639
640;More tasks message, 0 = count;+ $0$个更多任务...;TestVal640
641;Repeating task category;可重复;TestVal641
642;Turtle Ability;当捕食者靠近时缩 进壳里保护自己。;TestVal642
643;Turtle Action Description;躲藏中;TestVal643
644;Scare Ability;惊吓动物;TestVal644
645;Altitude Factor Name;海拔因素;TestVal645
646;Good Altitude;良好;TestVal646
647;Bad Altitude;较差;TestVal647
648;Below an altitude, 0=altitude;低于$0$米;TestVal648
649;Above an altitude, 0 = altitude;高于$0$米;TestVal649
650;Between two altitudes, 0 = altitude, 1 = altitude;在 $0$ 米和 $1$ 米之间;TestVal650
651;Preferred Living Altitude;偏好海拔;TestVal651
652;Music Unlock Reward Info, 0 = track name;解锁 ^$0$^ 音乐曲目;TestVal652
653;Music Unlock Notification Title;音乐曲目已解锁！;TestVal653
654;Music Unlock Notification Description, 0=track name;^$0$^音乐曲目现已解锁， 可以在音乐栏中播放。;TestVal654
655;Music Queue;队列;TestVal655
656;Task Requirement Done;完成;TestVal656
657;Task Requirement Not Done;未完成;TestVal657
658;Animal Death Notification;动物死亡;TestVal658
659;Animal Death notification content, 0 = animal name;$0$ 已经不幸离世。;TestVal659
660;Animal Name;名字;TestVal660
661;Autosave message;自动保存中...;TestVal661
662;Sheep Baa Task Requirement Name;羊叫;TestVal662
663;Sheep Baa Task Requirement Desc;控制一只绵羊并 哞叫;TestVal663
664;Cutting Tree Requirement, 0 = count;$0$棵树已砍伐;TestVal664
665;Cutting Tree Requirement, 0 = count;让一些海狸砍伐 $0$ 棵树;TestVal665
666;Tree Cutting Task Name;伐木节奏;TestVal666
667;Tree Cutting Task Desc;我试图用数学笑话做标题。就像对数(logarithm)，也是伐木节奏(logger rhythm)，因为这个任务是让海狸进入良好的砍树节奏。也许我太努力了。这是可重复任务，每次完成都能获得大量DP。砍吧砍吧！;TestVal667
668;Hungry Fish Task;饥饿的鱼;TestVal668
669;Hungry Fish Task Desc;梭鱼是个美食家， 喜欢品尝许多不同类型的鱼。 这个可重复任务会在梭鱼吃掉一定数量的其他鱼时为你提供DP奖励。;TestVal669
670;Butterfly Hunter;蝴蝶猎人;TestVal670
671;Butterfly Hunter Task;那些青蛙还是饿！ 确保青蛙有源源不断的蝴蝶供应， 你就有了新的多样性点数收入来源。;TestVal671
672;Banana Farmer;香蕉农夫;TestVal672
673;Banana Farmer Task;开始种香蕉！ 创建一个完整的香蕉种植园， 开始赚钱！ 香蕉树越多， 香蕉越多， 收入越多。 确保它们对环境满意以获得最大产出。;TestVal673
674;Banana Requirement;香蕉已产出;TestVal674
675;Banana Requirement, 0 = count;产出$0$个香蕉;TestVal675
676;Tree Bark Name;树皮;TestVal676
677;Honey Harvester Task;蜂蜜收割者;TestVal677
678;Honey Harvester Task;是时候收割蜜蜂一直在做的美味蜂蜜了！ 如果世界中有熊， 它们可以帮你做。 否则你得手动在蜂巢的操作栏中收割蜂蜜。;TestVal678
679;Honey Harvester Req Short;蜂蜜已收割;TestVal679
680;Honey Harvester Req;从蜂巢中收割蜂蜜;TestVal680
681;Digging a Hole Task;挖洞;TestVal681
682;Digging a Hole Task;野猪想吃土豆！ 为它们提供成片的土豆植株来挖， 你就能赚取更多DP。;TestVal682
683;Welcome Message Title;欢迎;TestVal683
684;Welcome Message;欢迎来到Equilinox！ 点击闪烁的任务栏并按照第一个任务开始游戏。;TestVal684
685;Start Breeding Button;开始进化;TestVal685
686;Breed requirements not met;条件未满足;TestVal686
687;Not enough money button;DP不足;TestVal687
688;Breeding in progress message;进行中;TestVal688
689;Species unlocked message;已解锁！;TestVal689
690;Message to say which species this entity evolves from;进化自;TestVal690
691;Bear Name;熊;TestVal691
692;Bear Description;一只可怕的大熊！ 这种大型哺乳动物在森林中漫游， 永远在寻找蜂蜜。 熊有能力从蜂巢中收割和食用蜂蜜， 能承受愤怒蜜蜂的大量蛰刺！ 熊通常是被动的， 但偶尔会生气并攻击附近的小动物。;TestVal692
693;Generate World Button;生成世界;TestVal693
694;World Size Option Name;世界大小;TestVal694
695;World Size Option;小;TestVal695
696;World Size Option;正常;TestVal696
697;World Size Option;大;TestVal697
698;Water Options;水域选项;TestVal698
699;Water Options;干旱世界;TestVal699
700;Water Options;正常;TestVal700
701;Water Options;潮湿世界;TestVal701
702;Terrain Options;地形选项;TestVal702
703;Terrain Options;平滑;TestVal703
704;Terrain Options;正常;TestVal704
705;Terrain Options;多山;TestVal705
706;Ash Tree Name;白蜡树;TestVal706
707;Ash Tree Description;一种非常耐寒的树， 能在各种不同的生态群落中轻松生长。 它喜欢花的陪伴， 喜欢栖息地中有岩石。 一种非常好看的树， 许多动物都能欣赏！;TestVal707
708;Help Pages;野生动植物基础;TestVal708
709;Help Pages;Equilinox中的每棵植物和动物都有自己的生命周期。 它们随时间生长、 繁殖并最终死亡。 本节将解释照料野生动植物的基础知识！;TestVal709
710;Help Pages;物种信息面板;TestVal710
711;Help Pages;点击商店中物种旁边的信息图标打开^物种信息面板^。 该面板显示物种的一些基本属性以及物种偏好栖息地的信息。;TestVal711
712;Help Pages;健康;TestVal712
713;Help Pages;当你把生物添加到世界中后， 需要关注它的健康。 随着生物变老， 健康会自然下降。 健康还受环境因素、 当地种群密度和物理伤害的影响。 当健康降到零时动物或植物就会死亡。;TestVal713
714;Help Pages;繁殖;TestVal714
715;Help Pages;在Equilinox中所有物种都会自动繁殖， 你不需要做任何事情来促使它发生。 这会使植物向周围地区扩散， 动物种群也会增长。;TestVal715
716;Help Pages;栖息地;TestVal716
717;Help Pages;所有物种对周围环境都有一定的偏好。 有些偏好生活在特定海拔或生态群落， 而其他可能需要某些植物或岩石的存在。 你可以在^物种信息面板^中查看物种的栖息地偏好。;TestVal717
718;Help Pages;食物和资源;TestVal718
719;Help Pages;Equilinox中的许多生物需要某些资源如食物或建筑材料。 你需要确保它们有可持续的供应来维持生存， 以保持生态系统平衡。;TestVal719
